index,ComplexClass,ClassDataShouldBePrivate,InappropriatIntimacy,LargeClass,LazyClass,MiddleMan,RefusedBequest,SpaghettiCode,SpeculativeGenerality,Blob,DataClass,Anti-singleton,SwissArmyKnife,DispersedCoupling,ShotgunSurgery,Comments,FeatureEnvy,LongMethod,LongParameterList,MessageChains,Non-smell
742,0.0,0.174922601,0.18126954280226737,0.08726782449267151,0.029411765,0.0,0.03382809121330372,0.08726782449267151,0.0,0.0,0.18126954280226737,0.0,0.01137175787053691,0.0,0.01367411939800907,0.0,0.0,0.021142663225427648,0.0,0.0,0.876340068
743,0.0,0.1748695,0.1812000147973197,0.08407902895639896,0.028709918,0.0,0.01629600071502825,0.08407902895639896,0.0,0.0,0.1812000147973197,0.0,0.01095623002911369,0.0,0.01664143455558483,0.0,0.0,0.019902748219538052,0.004211537206922462,0.0,0.870142603
744,0.0,0.178977273,0.18542909225004173,0.08007815153588897,0.026988636,0.0,0.01552057093869092,0.12011719911633315,0.0,0.0,0.18542909225004173,0.0,0.02086974699317519,0.0,0.012547558556957206,0.0,0.0,0.01372208631517991,0.003871158047158356,0.0,0.860210173
745,0.0,0.017492711,0.022910713256278265,0.0,0.001166181,0.0,0.0,0.0,0.0,0.0,0.021101972844887528,0.0,0.0,0.0,0.005421808599737756,0.0,0.0,0.0,0.0,0.0,0.976580834
746,0.0,0.230238727,0.8828740908929262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28770889146083156,0.0,0.0,0.0,0.006412690886719903,0.0,0.0,0.0,0.0017089645084662562,0.0,0.935520824
747,0.0,0.033470649,0.045257321350258915,0.0,0.000514933,0.0,0.0,0.0,0.0,0.0,0.04366000430860214,0.0,0.0,0.0,0.005745664482259551,0.0,0.0,0.0,0.0,0.0,0.967767683
748,0.0,0.061314513,0.07160894498577325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06659175836337955,0.0,0.0,0.0,0.004101632725087022,0.0,0.0,0.0,0.0,0.0,0.976255606
749,0.0,0.099672066,0.12114499527546752,0.022408837254900525,0.00049687,0.009542399694643211,0.004344364771047825,0.011204418627450263,0.0,0.0,0.11549361712761987,0.016301157812969713,0.01168026694394773,0.0,0.0367759493589272,0.0,0.01307451672415176,0.010417693174484042,0.0033929806299476035,0.0,0.302177456
750,0.0,0.003037835,0.025128889470160464,0.0,0.000552334,0.0,0.0,0.0,0.0,0.0,0.02484333370825019,0.0,0.0,0.0,0.013866713467132707,0.0,0.0,0.0,0.0,0.0,0.942694634
751,0.0,0.034560907,0.042765868085075195,0.0,0.000849858,0.0,0.0,0.0,0.0,0.0,0.04218003451648435,0.0,0.0,0.0,0.010009610102426002,0.0,0.0,0.0,0.0,0.0,0.921802903
752,0.0,0.029926335,0.04189305183915175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03665642010075861,0.0,0.0,0.0,0.012843095228133108,0.0,0.0,0.0,0.0,0.0,0.973007589
753,0.0,0.02527959,0.033727757882182303,0.0,0.001980429,0.0,0.0,0.0,0.0,0.0,0.029873156804104895,0.007643929722380985,0.0,0.0,0.05784420219352303,0.0,0.020855057351407715,0.0306504631455897,0.00324329030803815,0.0,0.760916563
754,0.0,0.009225092,0.05437067445776549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016692750422087527,0.0,0.0,0.0,0.017155721699061408,0.0,0.0,0.00451458752144429,0.0,0.0,0.968660819
755,0.0,0.058291828,0.06923829458704256,0.01039938361829299,0.000553403,0.0,0.0,0.0,0.061875751726849115,0.0,0.06561425202131177,0.01815587505216833,0.016261534122560994,0.0,0.009262381266410994,0.0,0.0,0.00811446753854372,0.0,0.0,0.789719191
756,0.0,0.004048583,0.007674739046715713,0.0,0.004048583,0.0,0.0,0.0,0.0,0.0,0.004186221392208269,0.0,0.0,0.0,0.010038760590858288,0.0,0.0,0.006401478780407023,0.0,0.0,0.994875745
757,0.0,0.002711864,0.014721308564658322,0.0,0.001355932,0.0,0.0,0.0,0.0,0.0,0.01051522099418262,0.0,0.0,0.0,0.002521600005165448,0.0,0.0,0.0,0.0,0.0,0.989317562
758,0.0,0.196033562,0.9768153251866162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27525922397653513,0.0,0.0,0.0,0.0014185213470440147,0.0,0.0,0.0,0.0,0.0,0.986437482
759,0.0,0.000465766,0.015892822670330948,0.0,0.003726129,0.0,0.0,0.0,0.0,0.0,0.00048160049898032884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986958639
760,0.0,0.02514427,0.03409716974107434,0.0,0.0,0.0,0.0,0.023237831639330336,0.0,0.0,0.02727773620645814,0.0,0.0,0.0,0.0030662501486186746,0.0,0.0,0.0,0.0,0.0,0.960439809
761,0.0,0.008808885,0.05979835259326384,0.06477403011180459,0.00153198,0.0,0.016739134662851728,0.06477403011180459,0.0,0.0,0.05900632147417412,0.012565181911925323,0.02250832128221296,0.0,0.049857379352418754,0.0,0.0,0.02115371635048015,0.012789333200718796,0.0,0.943341431
762,0.0,0.000581058,0.0024032461101605733,0.0,0.001162115,0.0,0.0,0.0,0.0,0.0,0.0012016230550802867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997015259
763,0.0,0.012179487,0.01590764087679275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01458200439555919,0.0,0.0,0.0,0.0023842049661947414,0.0,0.0,0.0,0.0,0.0,0.978085236
764,0.0,0.036794767,0.04058204434298703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039736585581298216,0.0,0.0,0.0,0.0030411779390464833,0.0,0.0,0.007192538659164558,0.0,0.0,0.984203633
765,0.0,0.015334064,0.041148462555864164,0.061746974452371844,0.000365097,0.0,0.0,0.082329318061496,0.0,0.0,0.022650529704971556,0.023955979689020482,0.03218467501820524,0.0,0.051601205272924826,0.0,0.018167963423437877,0.08680510353732424,0.024491332535345318,0.0,0.942834393
766,0.0,0.035754696,0.047265745133046634,0.0,0.000678887,0.0,0.0,0.012757437145115848,0.0,0.0,0.04235197989286742,0.0,0.0,0.0,0.019779354922620854,0.0,0.0,0.006237057404626023,0.007038937903922181,0.0,0.839176693
767,0.0,0.005401512,0.01712778074446936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006702175208791926,0.0,0.0,0.0,0.004687707246838762,0.0,0.022820245447982675,0.005586838901537485,0.0,0.0,0.951630498
768,0.0,0.001158749,0.0011981426222458424,0.0,0.002317497,0.0,0.0,0.0,0.0,0.0,0.0011981426222458424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998895443
769,0.0,0.000913242,0.0018885783972629753,0.0,0.003652968,0.0,0.0,0.0,0.0,0.0,0.0009442891986314876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997389084
770,0.0,0.020512821,0.04573446842552625,0.0,0.001282051,0.0,0.0,0.0,0.0,0.0,0.026512735828651265,0.0,0.0,0.0,0.007152616758264506,0.0,0.0,0.005380022650555107,0.0,0.0,0.990792967
771,0.0,0.019065191,0.02416474443322837,0.0,0.000615006,0.0,0.0,0.0,0.0,0.0,0.02225700090744893,0.0,0.0,0.0,0.0034311435959401685,0.0,0.0,0.0,0.0,0.0,0.97693041
772,0.0,1.0,0.00931528542168873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00931528542168873,0.0,0.0,0.0,0.01675387640452144,0.0,0.0,0.0,0.0,0.0,0.995372554
773,0.0,0.022437841,0.026962921440413505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024454742244888132,0.0,0.0,0.0,0.00563881283225292,0.0,0.0,0.0,0.0,0.0,0.985404008
774,0.0,0.015471167,0.02108713395849207,0.0,0.00281294,0.0,0.0,0.0,0.0,0.0,0.01963284864397606,0.0,0.0,0.0,0.007846751722206674,0.0,0.0,0.0,0.015373653447195554,0.0,0.985180732
775,0.0,0.002222222,0.03906209713712054,0.0,0.021111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020663112186594798,0.0,0.0,0.0,0.02101801809930631,0.0,0.998009419
776,0.0,0.003816794,0.03867621164307748,0.0,0.024427481,0.0,0.0,0.0,0.0,0.0,0.027625865311627248,0.0,0.0,0.0,0.045427304773232646,0.0,0.0,0.0,0.12069854984590006,0.0,0.987100702
777,0.0,0.124354116,0.13962338972504115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12965029008968226,0.0,0.0,0.0,0.00640606298619214,0.0,0.0,0.012652929810101415,0.016064640605387582,0.0,0.921075977
778,0.0,0.045203969,0.055290892213620435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054150873646907155,0.0,0.0,0.0,0.018453276422752633,0.0,0.0,0.0,0.004366341948163822,0.0,0.977375436
779,0.0,0.009493671,0.021814275581753393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010543566979246036,0.0,0.0,0.0,0.005885064256575075,0.0,0.0,0.0,0.0,0.0,0.9459948
780,0.0,0.022362136,0.03457131719196475,0.0,0.002388189,0.0,0.0,0.0,0.0,0.0,0.030081536087604565,0.0,0.0,0.0,0.014535060244593816,0.0,0.0,0.0,0.007084177645654816,0.0,0.907069211
781,0.0,0.063241107,0.074019085785815,0.024758434531627196,0.000439174,0.0,0.0,0.024758434531627196,0.0,0.0,0.06584519931641115,0.014408285228235075,0.0387149061746303,0.0,0.0253184405400304,0.0,0.0,0.04217396007532631,0.00324329030803815,0.0,0.955103346
782,0.0,0.078105263,0.09665147918896952,0.0,0.000210526,0.0,0.0,0.0,0.0,0.0,0.0840258358092203,0.006906872118931032,0.00618622546803374,0.0,0.02936337347297631,0.0,0.016323092965428734,0.06604438718871083,0.005081986428825932,0.0,0.897899831
