longname,LOC,CYCLO,MAXNESTING,CC,CM,FANOUT,CountInput,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NOPL,label
ra-0.5.0-incubating-src_CleandDuplicate__org.apache.cassandra.service.Cassandra.get_slice_result.unsetTe,3,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
1.4.13_CleandDuplicate__org.apache.wicket.MarkupContainer.renderAssociatedMarkup,73,6.0,3.0,3.0,3.0,10.0,5.0,10.0,50.0,7.0,33.0,13.0,21.0,24.0,1.0,25.0,32.0,7.0,25.0,6.0,8.0,1.0,0.0,0.0,0.0,0.26,6.0,6.0,8.0,1.0,2.0,0
re-R3_1_CleandDuplicate__org.eclipse.jdt.internal.core.JavaModelManager.recreatePersistedContainer.(Anon_7).getPath,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
ease-0.6_CleandDuplicate__org.apache.manifoldcf.crawler.connectors.filenet.FilenetConnector.CheckConnectionThread.run,11,2.0,1.0,0.0,0.0,1.0,2.0,0.0,11.0,1.0,4.0,0.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0
.6.0_CleandDuplicate__org.apache.hadoop.hive.metastore.api.Partition.isSetCreateTime,3,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
.1-src_CleandDuplicate__org.apache.tools.ant.taskdefs.Javadoc.TagArgument.TagArgument,3,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0
c_CleandDuplicate__org.jboss.util.file.Files.copy,13,1.0,0.0,2.0,2.0,1.0,5.0,0.0,5.0,2.0,1.0,8.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6,1.0,1.0,1.0,1.0,2.0,0
ndDuplicate__org.apache.qpid.client.util.ClassLoadingAwareObjectInputStream.resolveProxyClass,21,3.0,1.0,1.0,2.0,4.0,5.0,2.0,18.0,4.0,7.0,1.0,6.0,4.0,1.0,7.0,10.0,4.0,6.0,3.0,3.0,1.0,1.0,0.0,0.0,0.06,3.0,3.0,3.0,1.0,2.0,0
.10_CleandDuplicate__org.jfree.experimental.chart.swt.ChartComposite.print,19,2.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,2.0,3.0,12.0,1.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.71,2.0,2.0,2.0,1.0,3.0,0
ra-0.7.3-src_CleandDuplicate__org.apache.cassandra.thrift.Cassandra.AsyncClient.get_range_slices,5,1.0,0.0,0.0,0.0,3.0,6.0,0.0,5.0,2.0,3.0,0.0,3.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0
0.14.0_CleandDuplicate__org.elasticsearch.common.http.client.HttpDownloadHelper.GetThread.wasSuccessful,11,2.0,1.0,1.0,1.0,0.0,3.0,0.0,6.0,1.0,3.0,5.0,1.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.83,2.0,2.0,2.0,1.0,0.0,0
re-R3_3_CleandDuplicate__org.eclipse.jdt.core.dom.MethodRefParameter.isVarargs,23,1.0,0.0,5.0,7.0,1.0,8.0,0.0,4.0,1.0,2.0,19.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.75,1.0,1.0,1.0,1.0,0.0,0
.8.0_CleandDuplicate__org.apache.hadoop.hive.ql.parse.QB.countSel,3,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
1.4.14_CleandDuplicate__org.apache.wicket.protocol.http.portlet.PortletServletResponseWrapper.sendError,4,1.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0
andDuplicate__net.sourceforge.jvlt.StartExportDescriptor.DialogHandler.dialogStateChanged,10,3.0,2.0,0.0,0.0,4.0,3.0,0.0,10.0,1.0,6.0,0.0,5.0,3.0,0.0,3.0,6.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0
ra-1.1.0-src_CleandDuplicate__org.apache.cassandra.db.DataTracker.getBloomFilterFalseRatio,13,3.0,1.0,1.0,1.0,2.0,1.0,0.0,13.0,3.0,8.0,0.0,4.0,4.0,1.0,6.0,10.0,4.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0
c_CleandDuplicate__org.jboss.ejb.plugins.CMPPersistenceManager.findEntity,6,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,4.0,0
